,Horse,Wins,Appearances,Win %
6,Regret,6282,22241,0.2824513286273099
4,Top Flight,5380,22495,0.23916425872416092
5,Busher,5237,22450,0.23327394209354121
3,Devil Diver,4927,22473,0.21924086681795932
21,Alsab,4860,22698,0.2141157811260904
1,Twenty Grand,4817,22527,0.21383229014072003
27,Old Rosebud,4585,22306,0.2055500762126782
10,Assault,4456,22610,0.1970809376382132
25,Grey Lag,4227,22512,0.18776652452025586
8,Sir Barton,4101,22318,0.18375302446455777
26,Zev,4101,22430,0.18283548818546588
15,Whirlaway,3792,22556,0.16811491399184253
0,Stymie,3689,22376,0.16486414015016088
12,Armed,3648,22472,0.16233535065859736
18,Twilight Tear,3553,22549,0.15756796310257662
11,War Admiral,3408,22638,0.1505433342168036
7,Discovery,3368,22412,0.15027663751561662
9,Gallorette,2915,22579,0.12910226316488774
24,Count Fleet,2885,22367,0.12898466490812358
14,Man o' War,2806,22443,0.12502784832687253
19,Citation,2516,22387,0.11238665296824049
16,Colin,2449,22380,0.10942806076854335
13,Phar Lap,2449,22489,0.10889768331184134
17,Exterminator,2183,22480,0.0971085409252669
2,Gallant Fox,2187,22777,0.09601791280677877
20,Challedon,1843,22356,0.08243871891214886
23,Equipoise,1817,22404,0.08110158900196393
22,Synsonby,1519,22546,0.06737336999911292
